Tahun,KabPacitan,KabPonorogo,Trenggalek,Tulungagung,Blitar,Kediri,Malang,Lumajang,Jember,Banyuwangi,Bondowoso,Situbondo,Probolinggo,Pasuruan,Sidoarjo,Mojokerto,Jombang,Nganjuk,Madiun,Magetan,Ngawi,Bojonegoro,Tuban,Lamongan,Gresik,Bangkalan,Sampang,Pamekasan,Sumenep,KediriKota,BlitarKota,MalangKota,Probolinggokota,PasuruanKota,MojokertoKota,MadiunKota,Surabaya,Batu
2009,57783,61101,29806,95218,139542,114751,142344,145947,225417,133045,164316,166998,158929,102527,11338,65969,86260,225417,42256,76722,61757,167624,191122,69968,57181,155454,123597,123597,296978,4404,3439,2745,8869,898,299,848,411,3565
2010,61612,63995,30980,99836,144790,123954,147865,157527,237675,142417,172877,179788,177170,107869,11572,69511,91493,195997,44568,81036,66278,182937,202835,75575,60747,164201,176076,130576,316571,4487,3850,2786,9798,894,310,948,365,3687
2011,86138,89148,42560,129678,189378,268139,225895,200577,324230,143852,203735,204925,287480,110700,8768,90996,103014,176612,62375,107263,101047,190879,312013,109972,53020,193576,196414,127674,357038,6236,3409,4430,10071,820,384,379,1126,3347
2012,94735,84315,43411,129549,200008,287943,240746,210039,350170,163850,212621,214900,296867,114579,10078,99965,115852,166215,68831,114630,110850,201992,314810,116963,58268,205157,196807,142445,360862,6251,3549,4433,10473,596,355,385,740,3237
2013,76546,84751,29906,91789,132934,181727,189145,164892,217763,91384,188740,159308,239564,92174,9458,65843,68926,134255,46500,96185,90692,160037,311359,96714,44270,186027,180849,149855,345095,3510,2689,4241,8519,334,162,299,218,2437
2014,81954,84514,31431,98987,135592,192631,199453,172920,236198,108139,205321,169978,244718,100841,9356,50801,69821,134566,56838,106913,81373,172673,314937,99013,47254,191245,203863,152045,349081,3600,2797,4039,8863,305,154,303,116,2700
2015,83659,81807,32668,104824,139372,202263,212821,182993,243390,111304,210650,172528,256249,105469,9507,52891,72887,138522,58174,107683,84149,186861,324295,101790,50064,197675,211176,155086,353124,3764,2920,3858,9217,332,127,306,265,2655
2016,84393,82102,33887,111016,141347,212376,223717,194049,250112,115386,215184,176398,262408,106252,9802,54575,70448,138601,59518,110228,82197,201954,329272,104779,52858,200279,212776,190635,357422,3686,3076,3708,9592,379,145,306,223,2721
2017,86611,81823,34515,114556,148414,223216,234481,203044,253113,116274,219013,171865,266884,112328,11693,55141,66926,138929,60881,117599,79437,218131,334143,107629,54446,206946,215020,192455,361127,4377,3180,3756,9983,428,138,297,129,2685
2018,88633,83248,35853,122652,156386,230020,234761,208242,258205,119834,224917,176311,275565,115768,12441,55329,69670,140024,62099,120677,81017,231120,339563,109757,57281,226897,215664,194283,367382,4382,3225,2389,10397,432,104,290,112,2590
2019,91339,82995,37315,130316,151164,232567,238282,212673,263739,126451,228445,178162,275764,116339,13782,50404,63102,141171,63180,122028,83431,240665,344203,112193,57569,241437,215772,194182,372623,3673,3467,2533,10764,425,102,239,45,2526
2020,91039,84813,37901,137095,151720,232802,242371,221172,270032,128609,234300,179352,312983,116539,14590,51913,63647,141783,64454,117469,84902,249624,349089,114791,58772,259923,216450,194286,377124,3761,3855,2518,10934,457,88,223,39,2552
2021,95954,85716,38840,144801,153829,234177,246734,225394,274162,134307,237407,182081,319388,117679,14735,50396,73372,143682,65745,118251,85847,258563,354650,117889,59259,276476,217129,194292,383059,4101,3863,2697,11061,454,103,209,113,2572
2022,98153,86259,40034,152539,155944,240852,252930,232944,280067,138544,262003,183902,331294,120328,15150,51131,75215,144911,67127,120014,86531,269803,360473,120843,61220,287921,219107,200933,388090,4214,4044,2767,11429,466,104,205,158,2591
